Group ,Watch,Dominant,Subordinate,Interaction,,,,
NPB_S,2,YWRB,YNWB,B,,,,
NPB_S,2,YWRB,YNWB,B,,,,
NPB_S,2,YWRB,YNWB,B,,,,
NPB_S,2,RBWN,YNWB,C,,,,
NPB_S,2,YWRB,GRYR,D,,,,
NPB_S,2,YBGY,GWBW,P,,,,
NPB_S,3,YRYB,GWBW,P,,,,
NPB_S,3,GGWR,BBWW,B,,,,
NPB_S,3,GRYR,RBWN,P,,,,
NPB_S,3,GRYR,RBWN,C,,,,
NPB_S,3,GRYR,RBWN,C,,,,
NPB_S,3,BBWW,RBWN,P,,,,
NPB_S,3,GGWR,YRYB,D,,,,
NPB_S,3,GGWR,YBGY,D,,,,
NPB_S,3,GGWR,YBGY,B,,,,
NPB_S,3,GGWR,YBGY,B,,,,
NPB_S,3,GGWR,YBGY,B,,,,
NPB_S,3,GGWR,GWBW,P,,,,
NPB_S,3,GGWR,GWBW,B,,,,
NPB_S,3,YRYB,YBGY,D,,,,
NPB_S,3,YRYB,GWBW,P,,,,
NPB_S,3,YRYB,GWBW,C,,,,
NPB_S,3,YRYB,GWBW,B,,,,
NPB_S,3,YRYB,GWBW,B,,,,
NPB_S,3,YRYB,GWBW,B,,,,
NPB_S,3,GRYR,/B,D,,,,
NPB_S,3,GRYR,/B,D,,,,
NPB_S,3,/W,GWBW,P,,,,
NPB_S,3,YWRB,GRYR,D,,,,
NPB_S,3,YWRB,GRYR,B,,,,
NPB_S,4,/Y,RBWN,P,,,,
NPB_S,4,GRYR,RBWN,P,,,,
NPB_S,4,GRYR,GWBW,P,,,,
NPB_S,4,/B,RBWN,P,,,,
NPB_S,4,YRYB,RBWN,P,,,,
NPB_S,5,GRYR,GWBW,D,,,,
NPB_S,5,GRYR,GWBW,C,,,,
NPB_S,5,GRYR,GWBW,B,,,,
NPB_S,5,GRYR,GWBW,B,,,,
NPB_S,5,GGWR,GWBW,P,,,,
